ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
688003.SH,20191025,35.53,5.2968,5.2968,0.81,72.8101,70.1355,4.4044,13.5331,12.0181,19360.0,4417.8483,4417.8483,687860.8,156966.1501
000792.SZ,20191025,8.22,3.0341,6.6658,4.39,,,1.5576,1.2802,1.146,278609.0601,274989.9995,125169.9154,2290166.474,2260417.7959
601865.SH,20191025,9.85,8.9221,8.9221,1.8,47.1564,30.7339,4.404,6.2692,4.5881,195000.0,15000.0,15000.0,1920750.0,147750.0
603126.SH,20191025,5.4,0.3883,0.8154,0.72,25.4009,26.1792,1.9708,1.7596,1.5916,61050.0,61050.0,29076.3214,329670.0,329670.0
600490.SH,20191025,4.59,0.666,0.8123,1.09,51.2561,27.9955,1.5958,0.7194,0.5747,221576.7079,149136.9704,122274.4704,1017037.0893,684538.6941
002654.SZ,20191025,4.02,0.4951,0.7395,1.01,,,1.7041,0.7901,0.8295,89955.398,60683.6785,40633.0128,361620.7,243948.3876
300672.SZ,20191025,37.35,1.5731,2.4654,0.85,119.6843,73.7389,6.4704,16.8025,15.779,17999.4462,10954.3825,6989.699,672279.3156,409146.1864
603979.SH,20191025,8.44,0.204,0.4339,0.84,16.8959,16.4175,1.1698,1.5857,1.4997,58340.8432,58340.8432,27429.9344,492396.7166,492396.7166
300603.SZ,20191025,19.0,7.0418,7.6378,1.15,126.4354,62.1954,2.246,7.8187,5.3708,27518.6658,8207.6578,7567.1998,522854.6502,155945.4982
601599.SH,20191025,3.06,0.61,0.9079,0.95,48.6992,43.9343,1.0458,0.5715,0.5826,89272.4964,89272.4964,59984.7212,273173.839,273173.839
300032.SZ,20191025,3.21,3.6269,4.8285,0.78,,,1.8536,0.7652,1.0097,80316.9608,78935.7454,59292.9402,257817.4442,253383.7427
002680.SZ,20191025,0.65,2.9886,4.4294,4.9,1.1176,1.1422,0.169,0.4074,0.3926,97369.0378,58081.6828,39189.331,63289.8746,37753.0938
002407.SZ,20191025,11.51,1.4705,1.5372,0.76,119.4283,,2.2956,2.0119,1.8781,68392.0481,57940.8936,55426.6053,787192.4736,666899.6853
002468.SZ,20191025,22.67,1.2748,1.5372,0.86,16.9351,17.2296,4.0535,2.0398,1.7144,153080.2166,33177.6,27514.3278,3470328.5103,752136.192
300168.SZ,20191025,14.6,1.0589,1.3923,0.59,69.2118,83.501,4.4129,7.2832,6.8676,109979.989,109238.3259,83085.0459,1605707.8394,1594879.5581
600508.SH,20191025,9.09,0.1656,0.4407,1.08,9.934,12.1683,0.6733,0.9592,0.9248,72271.8,72271.8,27152.6667,656950.662,656950.662
603078.SH,20191025,31.83,6.0169,7.7948,0.85,87.0633,80.1118,4.4004,9.0593,7.4914,10920.0,6223.9905,4804.3905,347583.6,198109.6176
603598.SH,20191025,8.21,1.8469,5.0041,2.06,39.2345,45.386,3.7447,0.706,0.8868,27062.3,26786.29,9886.29,222181.483,219915.4409
001872.SZ,20191025,17.57,0.369,1.8254,1.32,28.8974,10.2521,0.9721,3.2473,2.2048,179341.2378,46485.8324,9398.0324,3151025.5481,816756.0753
000877.SZ,20191025,10.46,1.0104,1.5664,0.92,8.8385,6.6215,1.1932,1.383,1.1498,104872.2959,88009.4899,56771.329,1096964.2151,920579.2644
002505.SZ,20191025,1.96,3.5132,8.1232,2.69,,,2.2948,0.8026,0.8107,548537.22,548537.22,237235.4318,1075132.9512,1075132.9512
300432.SZ,20191025,6.93,2.3275,5.0313,2.24,,,1.7452,2.0376,1.997,43472.4852,35791.9131,16557.4797,301264.3224,248037.9578
600630.SH,20191025,7.45,0.933,1.3345,1.04,84.0184,271.436,1.7342,0.7256,0.7031,42486.1597,42486.1597,29705.04,316521.8898,316521.8898
300420.SZ,20191025,6.33,3.9388,4.6574,1.45,34.581,28.8535,2.8733,4.5206,3.9857,71563.0489,46919.5741,39680.137,452994.0995,297000.9041
601628.SH,20191025,30.5,0.0748,1.0389,0.8,75.6537,26.4675,2.3904,1.3405,1.2437,2826470.5,2082353.0,150000.0,86207350.25,63511766.5
300750.SZ,20191025,71.02,0.4482,0.6007,0.77,46.3061,34.2558,4.5119,5.2967,3.8711,220839.97,120258.9511,89725.1927,15684054.6694,8540790.7071
300315.SZ,20191025,4.35,1.2585,1.383,0.58,,,2.204,6.0879,7.8804,275748.4192,260037.1261,236614.0669,1199505.6235,1131161.4985
000938.SZ,20191025,30.05,0.4571,1.4554,1.17,36.0321,33.7777,2.2579,1.2709,1.2596,204291.4196,204291.4196,64159.2244,6138957.159,6138957.159
600887.SH,20191025,27.37,0.6173,0.6775,1.1,25.9138,24.6335,6.5665,2.113,1.9783,609712.5108,605879.1662,552025.5836,16687831.4206,16582912.7789
002354.SZ,20191025,2.85,1.1936,1.343,0.84,,,1.4907,1.0222,1.2546,93214.29,70009.4581,62221.3592,265660.7265,199526.9556
300307.SZ,20191025,4.91,0.3824,0.952,0.83,28.5686,58.3905,0.9612,2.3305,2.3629,80200.0,79322.3271,31858.669,393782.0,389472.6261
300637.SZ,20191025,12.24,1.4923,1.4923,0.9,20.9003,20.5402,3.9033,5.4631,5.197,23476.02,12357.904,12357.904,287346.4848,151260.745
300762.SZ,20191025,57.54,2.3636,2.3636,0.84,74.7949,61.6437,7.0485,18.0233,15.756,13336.0,3336.0,3336.0,767353.44,191953.44
000625.SZ,20191025,7.32,0.2707,0.5451,0.71,51.6438,,0.7995,0.5303,0.5808,480264.8511,390064.3469,193728.585,3515538.7101,2855271.0193
000922.SZ,20191025,7.68,1.0063,1.7419,1.52,13.5003,12.7975,1.7845,1.9314,1.6968,48989.3378,48530.2919,28035.562,376238.1143,372712.6418
000005.SZ,20191025,3.19,0.4938,0.6326,0.56,22.6917,16.6426,2.1724,6.9454,5.3049,105853.6842,105794.6242,82576.0487,337673.2526,337484.8512
600030.SH,20191025,22.06,0.6702,0.8417,1.04,28.4667,26.0262,1.7613,7.1815,6.8504,1211690.84,981466.17,781496.5954,26729899.9304,21651143.7102
000828.SZ,20191025,8.23,0.1421,0.4708,1.04,8.1567,7.4048,1.333,5.2696,5.2711,103951.6992,103951.5642,31367.3048,855522.4844,855521.3734
002617.SZ,20191025,6.04,0.7416,1.0809,0.72,,,3.0425,3.0213,3.8583,151066.8434,106504.5834,73073.3768,912443.7341,643287.6837
300688.SZ,20191025,24.45,2.2202,2.9222,0.58,173.126,162.5369,6.1612,6.9486,6.7516,9520.0,5115.4131,3886.5597,232764.0,125071.8503
300222.SZ,20191025,9.99,1.0506,1.2829,1.14,18.4246,22.1744,1.616,2.0146,1.9844,72475.059,46579.841,38146.5921,724025.8394,465332.6116
603829.SH,20191025,10.37,0.9651,1.7469,0.98,27.5711,31.2649,2.5515,2.9622,2.922,16000.0,7240.0,4000.0,165920.0,75078.8
002646.SZ,20191025,11.0,0.4701,1.2521,1.76,46.0146,117.9632,2.0988,3.6705,4.1538,45000.0,44981.7,16888.766,495000.0,494798.7
600597.SH,20191025,10.32,0.3808,0.7873,0.52,36.9758,33.7648,2.2629,0.6022,0.5876,122448.7509,122430.2009,59218.4943,1263671.1093,1263479.6733
603515.SH,20191025,25.65,0.3111,1.8351,0.62,21.5664,20.4986,4.2531,2.423,2.3494,75606.3755,75375.8682,12778.6546,1939303.5316,1933391.0193
603105.SH,20191025,7.17,1.9229,2.5106,1.03,54.1846,136.6133,2.5203,9.3317,11.9566,50000.0,30830.0,23613.2,358500.0,221051.1
000529.SZ,20191025,6.8,5.8429,12.8425,1.79,23.7478,22.2025,2.6016,1.5887,1.4648,58379.033,56988.4377,25927.6102,396977.4244,387521.3764
300559.SZ,20191025,27.66,1.9977,3.6069,0.91,59.4663,43.2599,8.6941,18.8718,14.2085,26641.61,14658.3386,8118.5933,736906.9326,405449.6457
603189.SH,20191025,16.72,1.4667,3.2352,0.77,461.8144,142.6573,4.6165,18.2933,13.9039,22080.0,22080.0,10010.0,369177.6,369177.6
300295.SZ,20191025,12.39,2.952,3.1509,1.01,24.524,25.5003,1.9994,5.3491,5.2078,19262.58,14968.2787,14023.365,238663.3662,185456.9731
000835.SZ,20191025,3.94,0.6769,0.9229,0.62,,,56.3257,17.1775,26.9293,32676.0374,30289.5,22215.9467,128743.5874,119340.63
600827.SH,20191025,8.86,0.1642,0.391,0.74,18.1261,17.7539,0.9114,0.3264,0.3181,178416.8117,160444.992,67368.5345,1580772.9517,1421542.6291
600330.SH,20191025,6.46,0.4991,0.6683,0.89,22.7046,32.6803,1.5993,2.4664,2.477,99656.573,99656.573,74420.1618,643781.4616,643781.4616
