cal_date,is_open,pretrade_date
20140430,1,20140429
20140501,0,20140430
20140502,0,20140430
20140503,0,20140430
20140504,0,20140430
20140505,1,20140430
20140506,1,20140505
20140507,1,20140506
20140508,1,20140507
20140509,1,20140508
20140510,0,20140509
20140511,0,20140509
20140512,1,20140509
20140513,1,20140512
20140514,1,20140513
20140515,1,20140514
20140516,1,20140515
20140517,0,20140516
20140518,0,20140516
20140519,1,20140516
20140520,1,20140519
20140521,1,20140520
20140522,1,20140521
20140523,1,20140522
20140524,0,20140523
20140525,0,20140523
20140526,1,20140523
20140527,1,20140526
20140528,1,20140527
20140529,1,20140528
20140530,1,20140529
20140531,0,20140530
20140601,0,20140530
20140602,0,20140530
20140603,1,20140530
20140604,1,20140603
20140605,1,20140604
20140606,1,20140605
20140607,0,20140606
20140608,0,20140606
20140609,1,20140606
20140610,1,20140609
20140611,1,20140610
20140612,1,20140611
20140613,1,20140612
20140614,0,20140613
20140615,0,20140613
20140616,1,20140613
20140617,1,20140616
20140618,1,20140617
20140619,1,20140618
20140620,1,20140619
20140621,0,20140620
20140622,0,20140620
20140623,1,20140620
20140624,1,20140623
20140625,1,20140624
20140626,1,20140625
20140627,1,20140626
20140628,0,20140627
20140629,0,20140627
20140630,1,20140627
20140701,1,20140630
20140702,1,20140701
20140703,1,20140702
20140704,1,20140703
20140705,0,20140704
20140706,0,20140704
20140707,1,20140704
20140708,1,20140707
20140709,1,20140708
20140710,1,20140709
20140711,1,20140710
20140712,0,20140711
20140713,0,20140711
20140714,1,20140711
20140715,1,20140714
20140716,1,20140715
20140717,1,20140716
20140718,1,20140717
20140719,0,20140718
20140720,0,20140718
20140721,1,20140718
20140722,1,20140721
20140723,1,20140722
20140724,1,20140723
20140725,1,20140724
20140726,0,20140725
20140727,0,20140725
20140728,1,20140725
20140729,1,20140728
20140730,1,20140729
20140731,1,20140730
20140801,1,20140731
20140802,0,20140801
20140803,0,20140801
20140804,1,20140801
20140805,1,20140804
20140806,1,20140805
20140807,1,20140806
20140808,1,20140807
20140809,0,20140808
20140810,0,20140808
20140811,1,20140808
20140812,1,20140811
20140813,1,20140812
20140814,1,20140813
20140815,1,20140814
20140816,0,20140815
20140817,0,20140815
20140818,1,20140815
20140819,1,20140818
20140820,1,20140819
20140821,1,20140820
20140822,1,20140821
20140823,0,20140822
20140824,0,20140822
20140825,1,20140822
20140826,1,20140825
20140827,1,20140826
20140828,1,20140827
20140829,1,20140828
20140830,0,20140829
20140831,0,20140829
20140901,1,20140829
20140902,1,20140901
20140903,1,20140902
20140904,1,20140903
20140905,1,20140904
20140906,0,20140905
20140907,0,20140905
20140908,0,20140905
20140909,1,20140905
