code,symbol,name,industry
600157,,永泰能源,煤炭开采
300782,,卓胜微,元器件
603677,,奇精机械,机械基件
603117,,万林物流,仓储物流
002495,,佳隆股份,食品
002644,,佛慈制药,中成药
603589,,口子窖,白酒
000587,,金洲慈航,批发业
300765,,新诺威,食品
300085,,银之杰,软件服务
002702,,海欣食品,食品
600063,,皖维高新,化纤
600683,,京投发展,区域地产
002044,,美年健康,医疗保健
002875,,安奈儿,服饰
000678,,襄阳轴承,机械基件
000909,,数源科技,综合类
603192,,汇得科技,化工原料
603238,,诺邦股份,纺织
002522,,浙江众成,塑料
603318,,派思股份,专用机械
002270,,华明装备,电气设备
002484,,江海股份,元器件
600108,,亚盛集团,农业综合
300088,,长信科技,元器件
603758,,秦安股份,汽车配件
002469,,三维工程,建筑工程
603337,,杰克股份,纺织机械
601599,,鹿港文化,影视音像
300530,,达志科技,化工原料
002184,,海得控制,软件服务
001896,,豫能控股,火力发电
000702,,正虹科技,饲料
002405,,四维图新,软件服务
600159,,大龙地产,区域地产
002049,,紫光国微,元器件
603167,,渤海轮渡,水运
300183,,东软载波,软件服务
600628,,新世界,百货
603997,,继峰股份,汽车配件
603507,,振江股份,钢加工
600573,,惠泉啤酒,啤酒
600830,,香溢融通,多元金融
601888,,中国国旅,旅游服务
002841,,视源股份,元器件
601933,,永辉超市,超市连锁
300056,,三维丝,环境保护
601966,,玲珑轮胎,汽车配件
002036,,联创电子,元器件
603918,,金桥信息,软件服务
600460,,士兰微,半导体
300434,,金石亚药,化学制药
002719,,麦趣尔,乳制品
300269,,联建光电,半导体
603327,,福蓉科技,元器件
000796,,凯撒旅游,旅游服务
300119,,瑞普生物,生物制药
603789,,星光农机,农用机械
600690,,海尔智家,家用电器
002001,,新 和 成,化学制药
002868,,绿康生化,农业综合
601225,,陕西煤业,煤炭开采
000811,,冰轮环境,工程机械
300069,,金利华电,电气设备
002242,,九阳股份,家用电器
002373,,千方科技,软件服务
002008,,大族激光,电器仪表
000756,,新华制药,化学制药
603767,,中马传动,汽车配件
600506,,香梨股份,种植业
600901,,江苏租赁,多元金融
600767,,ST运盛,医疗保健
002137,,麦达数字,互联网
601069,,西部黄金,黄金
600706,,曲江文旅,旅游服务
300650,,太龙照明,电气设备
300592,,华凯创意,软件服务
600624,,复旦复华,化学制药
603626,,科森科技,专用机械
002244,,滨江集团,区域地产
600727,,鲁北化工,农药化肥
002826,,易明医药,中成药
603966,,法兰泰克,机械基件
002349,,精华制药,中成药
300502,,新易盛,通信设备
600712,,南宁百货,百货
002393,,力生制药,化学制药
603233,,大参林,医药商业
000777,,中核科技,机械基件
002237,,恒邦股份,黄金
603396,,金辰股份,专用机械
300699,,光威复材,化工原料
600519,,贵州茅台,白酒
603020,,爱普股份,食品
300653,,正海生物,医疗保健
600816,,安信信托,多元金融
300039,,上海凯宝,中成药
002241,,歌尔股份,元器件
300417,,南华仪器,电器仪表
600575,,淮河能源,水运
600996,,贵广网络,影视音像
600313,,农发种业,种植业
000752,,*ST西发,啤酒
603007,,花王股份,建筑工程
603039,,泛微网络,软件服务
603139,,康惠制药,中成药
600085,,同仁堂,中成药
600272,,开开实业,中成药
